sample,geneRLF,nanostring.date,cartridgeID,lane.number,fov.count,fov.counted,binding.density,linPC,linFlag,perFOV,imagingFlag,lod,llod,spcFlag,gd,pergd,averageHK,sn,bdFlag,normFlag,QCFlag
20181130_OTTA3-007-SYD-20H_TUSC03482_01,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,1,555,550,0.15,1,Passed,99.09909909909909,Passed,17.22150431215558,-1.4715043121555809,Passed,41,74.54545454545455,96827.39582455366,5622.470259825634,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TVAN20133_10,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,10,555,553,0.25,1,Passed,99.63963963963964,Passed,17.345227743263393,3.6547722567366066,Passed,54,98.18181818181819,522047.72487898526,30097.48459957467,Passed,Passed,Passed
20181130_OTTA3-007-SYD-20H_TVAN20505_11,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,11,555,549,0.13,1,Passed,98.91891891891892,Passed,18.41026219709329,-4.160262197093289,Passed,1,1.8181818181818181,3.434890338050114,0.18657476473053344,Passed,Failed,Passed
20181130_OTTA3-007-SYD-20H_TVAN20656_12,OTTA2018_C6830,2018-11-30,OTTA3-007-SYD-20H,12,555,550,0.33,1,Passed,99.09909909909909,Passed,26.91640677169397,-2.6664067716939712,Passed,53,96.36363636363636,1195917.8570708965,44430.81378635414,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_DOVE40039_04,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,4,555,551,0.11,1,Passed,99.27927927927928,Passed,7.465362575159894,-1.7153625751598938,Passed,42,76.36363636363637,45737.31643841162,6126.603494195593,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_DOVE40329_03,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,3,555,548,0.14,1,Passed,98.73873873873875,Passed,5.207134902949093,-1.2071349029490928,Passed,53,96.36363636363636,361251.3004466148,69376.21305759101,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_DOVE42275_10,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,10,555,549,0.53,1,Passed,98.91891891891892,Passed,29.313121596360823,-0.3131215963608227,Passed,55,100,4007630.8332863934,136717.98208567232,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_DOVE43171_01,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,1,555,549,0.2,1,Passed,98.91891891891892,Passed,5.707134902949093,-0.7071349029490928,Passed,55,100,527862.8858109389,92491.74844950171,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_DOVE43453_02,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,2,555,549,0.05,1,Passed,98.91891891891892,Passed,1.1758200997725514,-0.6758200997725514,Passed,6,10.909090909090908,652.3937653924816,554.8414808682718,Passed,Failed,Passed
20181130_OTTA3-008-SYD-20H_TAOV20206_09,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,9,555,550,0.36,1,Passed,99.09909909909909,Passed,23.084481093454734,-1.3344810934547322,Passed,50,90.9090909090909,2692909.2231449606,116654.52700639199,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_TMAY02111_07,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,7,555,548,0.18,1,Passed,98.73873873873875,Passed,17.639050857234004,-4.139050857234002,Passed,51,92.72727272727272,516383.15672300017,29274.996761587357,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_TRTR20094_11,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,11,555,545,0.2,1,Passed,98.1981981981982,Passed,27.907218480965415,-5.657218480965415,Passed,49,89.0909090909091,553958.9765727886,19850.024714954143,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_TTRI20021_06,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,6,555,549,0.18,1,Passed,98.91891891891892,Passed,10.273762469230862,-1.7737624692308618,Passed,49,89.0909090909091,520502.1059674938,50663.24119584797,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_TUKO01595_08,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,8,555,551,0.18,1,Passed,99.27927927927928,Passed,18.76407504125182,-5.51407504125182,Passed,48,87.27272727272727,775370.3707843011,41322.067252432666,Passed,Passed,Passed
20181130_OTTA3-008-SYD-20H_TVAN20545_12,OTTA2018_C6830,2018-11-30,OTTA3-008-SYD-20H,12,555,550,0.3,1,Passed,99.09909909909909,Passed,27.406996976663905,-4.156996976663903,Passed,54,98.18181818181819,1170046.0149031347,42691.50742415843,Passed,Passed,Passed
